Date, Value
6/30/2014,86.4
7/31/2014,90.3
8/31/2014,93.4
9/30/2014,89
10/31/2014,94.1
11/30/2014,91
12/31/2014,93.1
1/31/2015,103.8
2/28/2015,98.8
3/31/2015,101.4
4/30/2015,94.3
5/31/2015,94.6
6/30/2015,99.8
7/31/2015,91
8/31/2015,101.3
9/30/2015,102.6
10/31/2015,99.1
11/30/2015,92.6
12/31/2015,96.3
1/31/2016,97.8
2/29/2016,94
3/31/2016,96.1
4/30/2016,94.7
5/31/2016,92.4
6/30/2016,97.4
7/31/2016,96.7
8/31/2016,101.8
9/30/2016,103.5
10/31/2016,100.8
11/30/2016,109.4
12/31/2016,113.3
1/31/2017,111.6
2/28/2017,116.1
3/31/2017,124.9
4/30/2017,119.4
5/31/2017,117.6
6/30/2017,117.3
7/31/2017,120
8/31/2017,120.4
9/30/2017,120.6
10/31/2017,126.2
11/30/2017,128.6
12/31/2017,123.1
1/31/2018,124.3
2/28/2018,130
3/31/2018,127
4/30/2018,125.6
5/31/2018,128.8
6/30/2018,127.1
7/31/2018,127.9
8/31/2018,134.7
9/30/2018,135.3
10/31/2018,137.9
11/30/2018,136.4
12/31/2018,126.6
1/31/2019,121.7
2/28/2019,131.4
3/31/2019,124.1
4/30/2019,129.2
5/31/2019,131.3
6/30/2019,124.3
7/31/2019,135.8
8/31/2019,134.2
9/30/2019,126.3
10/31/2019,126.1
11/30/2019,126.8
12/31/2019,128.2
1/31/2020,130.4
2/29/2020,132.6
3/31/2020,118.8
4/30/2020,85.7
5/31/2020,85.9
6/30/2020,98.1
7/31/2020,92.6
8/31/2020,84.8
9/30/2020,101.3
10/31/2020,101.4
11/30/2020,92.9
12/31/2020,87.1
1/31/2021,88.9
2/28/2021,90.4
3/31/2021,109
4/30/2021,117.5
5/31/2021,120
6/30/2021,128.9
7/31/2021,125.1
8/31/2021,115.2
9/30/2021,109.8
10/31/2021,111.6
11/30/2021,111.9
12/31/2021,115.2
1/31/2022,111.1
2/28/2022,105.7
3/31/2022,107.6
4/30/2022,108.6
5/31/2022,103.2
6/30/2022,98.7
7/31/2022,95.3
8/31/2022,103.6
9/30/2022,107.8
10/31/2022,102.5
11/30/2022,101.4
12/31/2022,108.3
1/31/2023,106
2/28/2023,103.4
3/31/2023,104
4/30/2023,101.3
5/31/2023,102.5
6/30/2023,110.1
7/31/2023,114
8/31/2023,108.7
9/30/2023,104.3
10/31/2023,99.1
11/30/2023,101
12/31/2023,110.7
1/31/2024,110.9
2/28/2024,104.8
3/31/2024,103.1
4/30/2024,97.5
5/31/2024,102
6/30/2024,97.8
