"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","1,037.70","1,027.20","1,053.53","1,019.46","","1.32%"
"05/30/2024","1,024.20","1,040.45","1,044.75","1,021.52","","-1.09%"
"05/29/2024","1,035.50","1,061.40","1,066.07","1,036.00","","-2.63%"
"05/28/2024","1,063.50","1,055.75","1,069.50","1,044.59","","0.89%"
"05/27/2024","1,054.12","1,027.30","1,062.22","1,026.96","","2.78%"
"05/24/2024","1,025.59","1,019.05","1,037.53","1,014.18","","0.65%"
"05/23/2024","1,019.00","1,037.90","1,047.17","1,017.90","","-1.55%"
"05/22/2024","1,035.00","1,054.00","1,062.54","1,034.89","","-1.10%"
"05/21/2024","1,046.50","1,051.75","1,064.36","1,030.45","","-0.03%"
"05/20/2024","1,046.83","1,084.25","1,097.44","1,047.63","","-3.14%"
"05/17/2024","1,080.80","1,062.45","1,092.34","1,053.01","","2.24%"
"05/16/2024","1,057.17","1,061.50","1,083.07","1,048.68","","-0.63%"
"05/15/2024","1,063.85","1,035.95","1,069.80","1,034.65","","3.17%"
"05/14/2024","1,031.17","1,000.25","1,041.00","999.98","","2.87%"
"05/13/2024","1,002.35","995.70","1,014.95","993.26","","0.82%"
"05/10/2024","994.17","984.10","1,001.59","982.70","","1.65%"
"05/09/2024","978.00","976.15","990.56","972.40","","0.17%"
"05/08/2024","976.30","980.50","982.54","964.87","","0.03%"
"05/07/2024","976.00","958.30","985.46","952.57","","1.75%"
"05/06/2024","959.25","951.86","970.40","949.60","","0.12%"
"05/03/2024","958.12","956.47","971.75","950.10","","0.64%"
"05/02/2024","952.04","954.90","964.58","942.84","","0.19%"
"05/01/2024","950.20","937.55","961.68","932.25","","1.44%"
"04/30/2024","936.75","949.75","956.23","930.85","","-1.24%"
"04/29/2024","948.51","915.95","958.48","912.90","","3.60%"
"04/26/2024","915.55","917.30","928.01","910.15","","0.15%"
"04/25/2024","914.15","904.25","921.49","897.36","","1.29%"
"04/24/2024","902.50","911.70","922.66","902.20","","-0.57%"
"04/23/2024","907.64","921.60","925.64","901.25","","-1.04%"
"04/22/2024","917.17","933.75","939.73","916.06","","-1.55%"
"04/19/2024","931.59","938.40","952.50","926.58","","-0.35%"
"04/18/2024","934.87","941.70","953.43","933.63","","-0.35%"
"04/17/2024","938.19","958.95","964.49","941.19","","-1.97%"
"04/16/2024","957.00","972.30","977.71","955.47","","-1.27%"
"04/15/2024","969.33","978.50","987.70","959.57","","-0.44%"
"04/12/2024","973.60","982.10","1,008.88","973.01","","-0.61%"
"04/11/2024","979.58","963.95","985.16","960.55","","2.07%"
"04/10/2024","959.75","978.60","986.51","958.12","","-1.97%"
"04/09/2024","979.05","959.00","989.60","962.25","","2.14%"
"04/08/2024","958.50","929.55","971.46","921.10","","3.37%"
"04/05/2024","927.26","932.90","937.20","915.48","","0.19%"
"04/04/2024","925.50","940.05","948.12","928.25","","-1.19%"
"04/03/2024","936.65","923.35","942.85","914.81","","1.95%"
"04/02/2024","918.70","903.75","931.57","899.55","","1.89%"
"04/01/2024","901.64","910.00","919.34","892.71","","-0.71%"
"03/28/2024","908.05","898.95","914.60","892.01","","1.60%"
"03/27/2024","893.71","903.75","912.00","887.89","","-1.03%"
"03/26/2024","903.00","904.05","912.27","899.58","","0.06%"
"03/25/2024","902.50","896.10","915.08","894.34","","0.95%"
"03/22/2024","894.04","908.05","912.92","893.39","","-1.54%"
"03/21/2024","908.00","908.75","921.46","905.27","","0.10%"
"03/20/2024","907.08","895.40","913.23","889.41","","1.41%"
"03/19/2024","894.50","916.90","919.92","892.49","","-2.00%"
"03/18/2024","912.77","935.85","940.16","914.59","","-2.20%"
"03/15/2024","933.30","928.00","956.04","923.58","","0.63%"
"03/14/2024","927.50","941.15","946.25","925.40","","-1.12%"
"03/13/2024","938.00","924.25","944.75","921.20","","1.87%"
"03/12/2024","920.76","937.40","941.08","911.31","","-1.31%"
"03/11/2024","933.00","913.65","942.77","912.22","","2.22%"
"03/08/2024","912.70","919.00","929.81","907.16","","-0.69%"
"03/07/2024","919.00","907.35","928.04","903.42","","1.28%"
"03/06/2024","907.35","882.05","913.59","880.43","","3.04%"
"03/05/2024","880.58","897.30","902.15","879.90","","-1.88%"
"03/04/2024","897.50","885.00","904.54","882.51","","1.45%"
"03/01/2024","884.67","878.05","890.30","867.03","","1.01%"
"02/29/2024","875.80","877.25","892.07","876.00","","-0.31%"
"02/28/2024","878.55","891.15","894.72","877.31","","-1.12%"
"02/27/2024","888.46","879.85","898.88","879.15","","0.97%"
"02/26/2024","879.95","900.85","903.67","876.07","","-2.28%"
"02/23/2024","900.50","901.70","908.75","888.05","","0.16%"
"02/22/2024","899.03","882.66","906.56","884.95","","1.82%"
"02/21/2024","882.97","900.27","911.68","882.33","","-1.98%"
"02/20/2024","900.84","898.50","917.30","895.27","","0.26%"
"02/19/2024","898.50","905.50","913.76","898.54","","-0.79%"
"02/16/2024","905.64","897.48","911.95","888.79","","0.86%"
"02/15/2024","897.91","889.17","905.91","889.02","","0.96%"
"02/14/2024","889.41","871.73","899.54","872.70","","2.02%"
"02/13/2024","871.82","888.95","902.71","869.94","","-1.91%"
"02/12/2024","888.83","868.50","897.06","873.05","","1.97%"
"02/09/2024","871.67","886.39","895.64","869.43","","-1.51%"
"02/08/2024","884.99","879.61","892.33","873.63","","0.62%"
"02/07/2024","879.52","903.82","910.04","879.86","","-2.68%"
"02/06/2024","903.70","896.79","910.36","894.45","","0.79%"
"02/05/2024","896.65","891.00","906.16","891.37","","0.67%"
"02/02/2024","890.67","912.93","928.02","892.40","","-2.45%"
"02/01/2024","913.05","917.57","926.50","904.28","","-0.53%"
"01/31/2024","917.91","921.02","937.53","918.38","","-0.33%"
"01/30/2024","920.93","927.32","933.93","915.93","","-0.65%"
"01/29/2024","926.92","914.00","932.80","909.73","","1.54%"
"01/26/2024","912.89","890.95","922.25","889.47","","2.40%"
"01/25/2024","891.52","898.36","910.00","887.57","","-0.82%"
"01/24/2024","898.91","900.28","916.94","900.50","","-0.11%"
